"ID","REF"
135,"3"
136,"3"
137,"3"
138,"3"
139,"1"
140,"3"
141,"1"
142,"3"
143,"3"
144,"3"
145,"1"
146,"3"
147,"1"
148,"6"
149,"1"
150,"3"
151,"4"
152,"3"
153,"1"
154,"3"
155,"3"
156,"1"
157,"4"
158,"3"
159,"1"
160,"1"
161,"1"
162,"1"
163,"1"
164,"1"
165,"1"
166,"1"
167,"4"
168,"4"
169,"1"
170,"1"
171,"5"
172,"3"
173,"1"
174,"1"
175,"1"
176,"1"
177,"1"
178,"1"
179,"1"
180,"1"
181,"1"
182,"1"
183,"1"
184,"1"
185,"1"
186,"1"
187,"1"
188,"1"
189,"1"
190,"1"
191,"1"
192,"1"
193,"1"
194,"1"
195,"1"
196,"1"
197,"1"
198,"1"
199,"1"
200,"1"
201,"1"
202,"1"
203,"1"
204,"1"
205,"1"
206,"1"
207,"1"
208,"1"
209,"3"
210,"1"
211,"1"
212,"1"
213,"1"
214,"3"
215,"1"
216,"1"
217,"1"
218,"1"
219,"1"
220,"1"
221,"3"
222,"4"
223,"1"
224,"1"
225,"1"
226,"3"
227,"1"
228,"1"
229,"3"
230,"1"
231,"1"
232,"4"
233,"1"
234,"3"
235,"1"
236,"1"
237,"1"
238,"1"
239,"1"
240,"1"
241,"1"
242,"1"
243,"1"
244,"1"
245,"6"
246,"1"
247,"1"
248,"1"
249,"4"
250,"4"
251,"1"
252,"1"
253,"1"
254,"1"
255,"1"
256,"1"
257,"1"
258,"1"
259,"3"
260,"1"
261,"1"
262,"1"
263,"1"
264,"1"
265,"1"
266,"1"
267,"3"
268,"1"
269,"5"
270,"1"
271,"1"
272,"5"
273,"3"
274,"1"
275,"1"
276,"1"
277,"1"
278,"1"
279,"1"
280,"1"
281,"1"
282,"3"
283,"2"
284,"3"
285,"1"
286,"3"
287,"3"
288,"3"
289,"1"
290,"1"
291,"1"
292,"1"
293,"1"
294,"1"
295,"1"
296,"1"
297,"1"
298,"1"
299,"1"
300,"1"
301,"1"
302,"1"
303,"1"
304,"1"
305,"6"
306,"1"
307,"4"
308,"6"
309,"1"
310,"3"
311,"1"
312,"1"
313,"1"
314,"3"
315,"3"
316,"1"
317,"1"
318,"1"
319,"1"
320,"1"
321,"1"
322,"4"
323,"3"
324,"3"
325,"4"
326,"1"
327,"1"
328,"1"
329,"1"
330,"1"
331,"1"
332,"1"
333,"1"
334,"1"
335,"1"
336,"1"
337,"1"
338,"1"
339,"1"
340,"1"
341,"1"
342,"4"
343,"3"
344,"1"
345,"3"
346,"5"
347,"3"
348,"1"
349,"1"
350,"1"
351,"1"
352,"1"
353,"1"
354,"1"
355,"4"
356,"1"
357,"1"
358,"1"
359,"1"
360,"4"
361,"1"
362,"1"
363,"1"
364,"1"
365,"1"
366,"1"
367,"1"
368,"1"
369,"1"
370,"1"
371,"1"
372,"1"
373,"1"
374,"1"
375,"1"
376,"1"
377,"1"
378,"1"
379,"1"
380,"5"
381,"1"
382,"1"
383,"1"
384,"4"
385,"4"
386,"1"
387,"4"
388,"1"
389,"1"
390,"1"
391,"1"
392,"1"
393,"1"
394,"3"
395,"1"
396,"1"
397,"1"
398,"1"
399,"1"
400,"1"
401,"1"
402,"6"
403,"1"
404,"1"
405,"1"
406,"3"
407,"1"
408,"1"
409,"1"
410,"3"
411,"1"
412,"3"
413,"1"
414,"1"
415,"1"
416,"1"
417,"1"
418,"1"
419,"1"
420,"1"
421,"1"
422,"1"
423,"1"
424,"1"
425,"1"
426,"1"
427,"1"
428,"1"
429,"1"
430,"1"
431,"1"
432,"1"
433,"3"
434,"1"
435,"1"
436,"5"
437,"1"
438,"1"
439,"4"
440,"1"
441,"1"
442,"1"
443,"1"
444,"4"
445,"3"
446,"3"
447,"4"
448,"1"
449,"1"
450,"1"
451,"1"
452,"1"
453,"4"
454,"1"
455,"1"
456,"5"
457,"1"
458,"1"
459,"3"
460,"4"
461,"1"
462,"1"
463,"1"
464,"1"
